4
10001 	北京大学		
10			
010101 	哲学 	5 	680 
020101 	经济学 	5 	 685 
020401 	国贸 	6 	693 
050201 	英语 	4 	 692
070101 	数学与应用数学 	5	 697
070201 	物理学 	3	 695
080901 	计算机科学与技术 	5	 700
080601 	电气自动化 	4	 694
080201 	机械工程 	7	 693
100201K 	临床医学 	3	 680
			
10002 	中国人民大学		
10			
010101 	哲学 	5 	680
020101 	经济学 	5	 670
020401 	国贸 	6	 675
050201 	英语 	4	 679
070101 	数学与应用数学 	5	 673
070201 	物理学 	3	 663
080901 	计算机科学与技术 	5	 675
100201K 	临床医学 	5	 670
130201 	音乐表演 	5	 640
130508 	数字媒体艺术 	5	 645
			
10003 	清华大学		
10			
010101 	哲学 	5	 680
020101 	经济学 	5	 685
020401 	国贸 	6	 690
050201 	英语 	4	 695
070101 	数学与应用数学 	5	 700
070201 	物理学 	3	 695
080901 	计算机科学与技术 	5	 690
080601 	电气自动化 	4	 685
080201 	机械工程 	7	 680
100201K 	临床医学 	3	 685
			
10004 	北京交通大学		
12 			
010101 	哲学 	5	 635
020101 	经济学 	6	 640
070101 	数学与应用数学 	7	 645
070201 	物理学 	4	 650
071101 	心理学 	5	 655
080201 	机械工程 	3	 660
080202 	电气自动化 	7	 665
080203 	计算机科学与技术 	8	 665
080204 	采矿工程 	2	 660
080205 	农业工程 	4	 655
080206 	环境科学与工程 	5	 650
080207 	建筑学 	6	 645
